Name,Age,Nationality,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
L. Messi,31,Argentina,94,94,110500000.0,565000.0,2202,Left,5.0,4.0,4.0,Medium/ Medium,Messi,Yes,RF,10.0,"Jul 1, 2004",0,2021,5.7,159.0,88.0,88.0,88.0,92.0,93.0,93.0,93.0,92.0,93.0,93.0,93.0,91.0,84.0,84.0,84.0,91.0,64.0,61.0,61.0,61.0,64.0,59.0,47.0,47.0,47.0,59.0,84.0,95.0,70.0,90.0,86.0,97.0,93.0,94.0,87.0,96.0,91.0,86.0,91.0,95.0,95.0,85.0,68.0,72.0,59.0,94.0,48.0,22.0,94.0,94.0,75.0,96.0,33.0,28.0,26.0,6.0,11.0,15.0,14.0,8.0,€226.5M
P. Dybala,24,Argentina,89,94,89000000.0,205000.0,2092,Left,3.0,3.0,4.0,High/ Medium,Normal,Yes,LF,21.0,"Jul 1, 2015",0,2022,5.1,165.0,83.0,83.0,83.0,87.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,86.0,79.0,79.0,79.0,86.0,62.0,58.0,58.0,58.0,62.0,56.0,45.0,45.0,45.0,56.0,82.0,84.0,68.0,87.0,88.0,92.0,88.0,88.0,75.0,92.0,87.0,83.0,91.0,86.0,85.0,82.0,75.0,80.0,65.0,88.0,48.0,32.0,84.0,87.0,86.0,84.0,23.0,20.0,20.0,5.0,4.0,4.0,5.0,8.0,€153.5M
S. Agüero,30,Argentina,89,89,64500000.0,300000.0,2107,Right,4.0,4.0,4.0,High/ Medium,Stocky,Yes,ST,10.0,"Jul 28, 2011",0,2021,5.8,154.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,86.0,85.0,85.0,85.0,83.0,76.0,76.0,76.0,83.0,58.0,56.0,56.0,56.0,58.0,53.0,47.0,47.0,47.0,53.0,70.0,93.0,77.0,81.0,85.0,89.0,82.0,73.0,64.0,89.0,88.0,80.0,86.0,90.0,91.0,88.0,81.0,76.0,73.0,83.0,65.0,24.0,92.0,83.0,83.0,90.0,30.0,20.0,12.0,13.0,15.0,6.0,11.0,14.0,€119.3M
G. Higuaín,30,Argentina,88,88,57000000.0,245000.0,1965,Right,4.0,4.0,3.0,High/ Medium,Normal,Yes,LS,9.0,0,Juventus,"Jun 30, 2019",6.1,196.0,85.0,85.0,85.0,81.0,83.0,83.0,83.0,81.0,80.0,80.0,80.0,78.0,71.0,71.0,71.0,78.0,55.0,53.0,53.0,53.0,55.0,51.0,48.0,48.0,48.0,51.0,68.0,92.0,80.0,75.0,90.0,84.0,74.0,62.0,59.0,85.0,73.0,73.0,75.0,86.0,69.0,86.0,79.0,70.0,85.0,80.0,50.0,20.0,92.0,74.0,70.0,86.0,35.0,22.0,18.0,5.0,12.0,7.0,5.0,10.0,0
M. Icardi,25,Argentina,87,90,64500000.0,130000.0,1940,Right,3.0,4.0,3.0,Medium/ Low,Normal,Yes,ST,9.0,"Jul 9, 2013",0,2021,5.11,165.0,84.0,84.0,84.0,76.0,81.0,81.0,81.0,76.0,76.0,76.0,76.0,74.0,68.0,68.0,68.0,74.0,54.0,53.0,53.0,53.0,54.0,52.0,51.0,51.0,51.0,52.0,46.0,91.0,91.0,73.0,85.0,77.0,58.0,45.0,54.0,81.0,77.0,78.0,76.0,88.0,76.0,84.0,94.0,72.0,76.0,70.0,56.0,22.0,92.0,64.0,82.0,85.0,45.0,24.0,20.0,13.0,9.0,5.0,7.0,9.0,€114.5M
N. Otamendi,30,Argentina,85,85,28500000.0,170000.0,1916,Right,3.0,3.0,2.0,High/ High,Normal,Yes,CB,30.0,"Aug 20, 2015",0,2022,6.0,179.0,64.0,64.0,64.0,59.0,61.0,61.0,61.0,59.0,62.0,62.0,62.0,61.0,67.0,67.0,67.0,61.0,72.0,77.0,77.0,77.0,72.0,74.0,82.0,82.0,82.0,74.0,52.0,54.0,85.0,75.0,57.0,51.0,50.0,39.0,72.0,70.0,57.0,61.0,64.0,79.0,62.0,69.0,92.0,67.0,80.0,56.0,91.0,84.0,51.0,53.0,45.0,80.0,83.0,85.0,84.0,12.0,5.0,8.0,11.0,12.0,€52.7M
A. Di María,30,Argentina,84,84,29500000.0,125000.0,2113,Left,4.0,2.0,5.0,High/ Medium,Lean,Yes,RM,11.0,"Aug 6, 2015",0,2021,5.11,152.0,76.0,76.0,76.0,82.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,77.0,77.0,77.0,82.0,68.0,65.0,65.0,65.0,68.0,65.0,57.0,57.0,57.0,65.0,83.0,72.0,51.0,82.0,77.0,86.0,84.0,82.0,79.0,85.0,85.0,84.0,92.0,80.0,77.0,83.0,72.0,73.0,60.0,77.0,73.0,38.0,82.0,82.0,73.0,82.0,35.0,59.0,56.0,10.0,7.0,11.0,12.0,11.0,€54.6M
E. Banega,30,Argentina,84,84,29000000.0,31000.0,2133,Right,3.0,4.0,4.0,Medium/ Medium,Normal,Yes,CDM,10.0,"Jul 3, 2017",0,2020,5.9,157.0,71.0,71.0,71.0,78.0,77.0,77.0,77.0,78.0,81.0,81.0,81.0,79.0,82.0,82.0,82.0,79.0,75.0,78.0,78.0,78.0,75.0,72.0,69.0,69.0,69.0,72.0,80.0,66.0,49.0,88.0,65.0,84.0,83.0,81.0,87.0,86.0,68.0,64.0,79.0,77.0,83.0,74.0,57.0,74.0,67.0,78.0,73.0,76.0,75.0,88.0,78.0,80.0,75.0,69.0,64.0,13.0,8.0,7.0,7.0,10.0,€60.9M
A. Gómez,30,Argentina,84,84,30000000.0,53000.0,2049,Right,3.0,4.0,4.0,High/ Medium,Normal,No,LS,10.0,"Sep 2, 2014",0,2022,5.5,150.0,75.0,75.0,75.0,84.0,82.0,82.0,82.0,84.0,84.0,84.0,84.0,83.0,77.0,77.0,77.0,83.0,66.0,61.0,61.0,61.0,66.0,60.0,48.0,48.0,48.0,60.0,82.0,76.0,38.0,82.0,72.0,89.0,79.0,79.0,74.0,87.0,94.0,86.0,92.0,83.0,94.0,76.0,70.0,75.0,48.0,79.0,56.0,40.0,81.0,85.0,72.0,84.0,50.0,30.0,34.0,8.0,11.0,12.0,9.0,6.0,€51M
F. Vázquez,29,Argentina,82,82,21500000.0,27000.0,1969,Left,2.0,3.0,4.0,Medium/ High,Normal,Yes,LCM,22.0,"Jul 16, 2016",0,2021,6.1,181.0,76.0,76.0,76.0,78.0,79.0,79.0,79.0,78.0,80.0,80.0,80.0,77.0,77.0,77.0,77.0,77.0,62.0,66.0,66.0,66.0,62.0,59.0,58.0,58.0,58.0,59.0,73.0,74.0,68.0,84.0,81.0,86.0,79.0,68.0,78.0,87.0,58.0,62.0,69.0,78.0,39.0,76.0,44.0,61.0,79.0,84.0,78.0,54.0,77.0,84.0,67.0,80.0,46.0,40.0,37.0,14.0,15.0,13.0,9.0,7.0,€45.2M
