Name,Age,Nationality,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
Neymar Jr,26,Brazil,92,93,118500000.0,290000.0,2143,Right,5.0,5.0,5.0,High/ Medium,Neymar,Yes,LW,10.0,"Aug 3, 2017",0,2022,5.9,150.0,84.0,84.0,84.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,88.0,81.0,81.0,81.0,88.0,65.0,60.0,60.0,60.0,65.0,60.0,47.0,47.0,47.0,60.0,79.0,87.0,62.0,84.0,84.0,96.0,88.0,87.0,78.0,95.0,94.0,90.0,96.0,94.0,84.0,80.0,61.0,81.0,49.0,82.0,56.0,36.0,89.0,87.0,81.0,94.0,27.0,24.0,33.0,9.0,9.0,15.0,15.0,11.0,€228.1M
Casemiro,26,Brazil,88,90,59500000.0,285000.0,2170,Right,3.0,3.0,2.0,Medium/ High,Normal,Yes,CDM,14.0,"Jul 11, 2013",0,2021,6.1,185.0,72.0,72.0,72.0,69.0,73.0,73.0,73.0,69.0,74.0,74.0,74.0,71.0,80.0,80.0,80.0,71.0,78.0,85.0,85.0,85.0,78.0,79.0,85.0,85.0,85.0,79.0,52.0,59.0,76.0,85.0,53.0,69.0,59.0,74.0,82.0,78.0,59.0,65.0,62.0,84.0,66.0,86.0,88.0,87.0,89.0,79.0,87.0,87.0,69.0,77.0,66.0,84.0,88.0,90.0,87.0,13.0,14.0,16.0,12.0,12.0,€126.4M
Coutinho,26,Brazil,88,89,69500000.0,340000.0,2175,Right,3.0,4.0,5.0,High/ High,Normal,Yes,LW,7.0,"Jan 6, 2018",0,2023,5.8,150.0,79.0,79.0,79.0,86.0,85.0,85.0,85.0,86.0,87.0,87.0,87.0,85.0,83.0,83.0,83.0,85.0,71.0,70.0,70.0,70.0,71.0,67.0,58.0,58.0,58.0,67.0,79.0,79.0,48.0,88.0,75.0,91.0,91.0,86.0,83.0,92.0,89.0,75.0,92.0,83.0,93.0,83.0,59.0,79.0,61.0,93.0,59.0,49.0,84.0,90.0,70.0,85.0,55.0,54.0,47.0,12.0,7.0,9.0,14.0,6.0,€147.7M
Marcelo,30,Brazil,88,88,43000000.0,285000.0,2279,Left,4.0,4.0,5.0,High/ Low,Normal,Yes,LB,12.0,"Jan 1, 2007",0,2022,5.9,176.0,80.0,80.0,80.0,84.0,83.0,83.0,83.0,84.0,84.0,84.0,84.0,85.0,84.0,84.0,84.0,85.0,85.0,83.0,83.0,83.0,85.0,84.0,81.0,81.0,81.0,84.0,90.0,70.0,75.0,84.0,54.0,90.0,85.0,67.0,76.0,92.0,83.0,82.0,86.0,88.0,86.0,83.0,76.0,91.0,78.0,70.0,84.0,85.0,85.0,82.0,59.0,86.0,71.0,85.0,86.0,12.0,5.0,5.0,5.0,9.0,€88.2M
Thiago Silva,33,Brazil,88,88,24000000.0,165000.0,2077,Right,4.0,3.0,2.0,Medium/ High,Normal,Yes,RCB,2.0,"Jul 1, 2012",0,2020,6.0,181.0,66.0,66.0,66.0,66.0,67.0,67.0,67.0,66.0,70.0,70.0,70.0,69.0,75.0,75.0,75.0,69.0,78.0,82.0,82.0,82.0,78.0,80.0,84.0,84.0,84.0,80.0,60.0,38.0,81.0,80.0,63.0,62.0,61.0,64.0,80.0,80.0,70.0,72.0,68.0,82.0,68.0,71.0,90.0,74.0,82.0,68.0,76.0,89.0,59.0,72.0,60.0,81.0,88.0,89.0,85.0,9.0,12.0,5.0,9.0,10.0,€44.4M
Ederson,24,Brazil,86,90,41500000.0,125000.0,1463,Left,2.0,3.0,1.0,Medium/ Medium,Normal,Yes,GK,31.0,"Jul 1, 2017",0,2025,6.2,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,14.0,56.0,18.0,23.0,15.0,20.0,58.0,37.0,64.0,63.0,60.0,86.0,48.0,42.0,58.0,41.0,68.0,18.0,35.0,25.0,20.0,67.0,17.0,70.0,28.0,15.0,8.0,85.0,80.0,91.0,82.0,87.0,€79.9M
Roberto Firmino,26,Brazil,86,87,53000000.0,195000.0,2187,Right,3.0,4.0,4.0,High/ High,Lean,Yes,CAM,9.0,"Jul 6, 2015",0,2023,5.11,168.0,83.0,83.0,83.0,83.0,84.0,84.0,84.0,83.0,84.0,84.0,84.0,83.0,82.0,82.0,82.0,83.0,72.0,73.0,73.0,73.0,72.0,69.0,67.0,67.0,67.0,69.0,72.0,87.0,77.0,86.0,81.0,87.0,80.0,65.0,75.0,88.0,78.0,77.0,80.0,86.0,81.0,81.0,81.0,90.0,74.0,76.0,73.0,58.0,87.0,85.0,72.0,87.0,60.0,64.0,42.0,8.0,11.0,9.0,6.0,10.0,€104.7M
Alex Sandro,27,Brazil,86,86,36500000.0,160000.0,2198,Left,3.0,3.0,3.0,High/ High,Normal,Yes,LB,12.0,"Aug 21, 2015",0,2020,5.11,176.0,74.0,74.0,74.0,77.0,75.0,75.0,75.0,77.0,76.0,76.0,76.0,78.0,77.0,77.0,77.0,78.0,83.0,81.0,81.0,81.0,83.0,83.0,81.0,81.0,81.0,83.0,84.0,55.0,76.0,81.0,68.0,80.0,78.0,59.0,71.0,81.0,83.0,86.0,79.0,84.0,78.0,80.0,79.0,92.0,79.0,72.0,82.0,82.0,70.0,70.0,60.0,82.0,81.0,84.0,84.0,7.0,7.0,9.0,12.0,5.0,€60.2M
Douglas Costa,27,Brazil,86,86,46500000.0,175000.0,2111,Left,3.0,3.0,5.0,High/ Medium,Normal,Yes,LM,11.0,"Jul 1, 2018",0,2022,5.8,154.0,77.0,77.0,77.0,85.0,83.0,83.0,83.0,85.0,84.0,84.0,84.0,84.0,78.0,78.0,78.0,84.0,69.0,63.0,63.0,63.0,69.0,64.0,53.0,53.0,53.0,64.0,84.0,67.0,50.0,84.0,76.0,92.0,84.0,78.0,68.0,91.0,97.0,93.0,93.0,84.0,91.0,86.0,61.0,78.0,63.0,80.0,55.0,48.0,76.0,84.0,77.0,84.0,45.0,38.0,34.0,13.0,15.0,9.0,12.0,5.0,€76.7M
Fernandinho,33,Brazil,86,86,18000000.0,185000.0,2183,Right,3.0,4.0,3.0,Medium/ High,Lean,Yes,CDM,25.0,"Jul 1, 2013",0,2020,5.1,148.0,74.0,74.0,74.0,75.0,76.0,76.0,76.0,75.0,77.0,77.0,77.0,76.0,80.0,80.0,80.0,76.0,79.0,83.0,83.0,83.0,79.0,79.0,81.0,81.0,81.0,79.0,68.0,69.0,63.0,85.0,74.0,77.0,70.0,72.0,81.0,82.0,68.0,67.0,72.0,86.0,78.0,83.0,76.0,79.0,76.0,78.0,87.0,88.0,70.0,75.0,61.0,79.0,85.0,85.0,80.0,12.0,11.0,5.0,13.0,7.0,€33.3M
