Name,Age,Nationality,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
G. Chiellini,33,Italy,89,89,27000000.0,215000.0,1841,Left,4.0,3.0,2.0,Medium/ High,Normal,Yes,LCB,3.0,"Jul 1, 2005",0,2020,6.2,187.0,58.0,58.0,58.0,54.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,56.0,60.0,60.0,60.0,56.0,74.0,76.0,76.0,76.0,74.0,77.0,86.0,86.0,86.0,77.0,58.0,33.0,83.0,59.0,45.0,58.0,60.0,31.0,59.0,57.0,63.0,75.0,54.0,82.0,55.0,78.0,89.0,65.0,89.0,49.0,92.0,88.0,28.0,50.0,50.0,84.0,93.0,93.0,90.0,3.0,3.0,2.0,4.0,3.0,€44.6M
L. Insigne,27,Italy,88,88,62000000.0,165000.0,2017,Right,3.0,3.0,4.0,High/ Medium,Normal,Yes,LW,10.0,"Jul 1, 2010",0,2022,5.4,130.0,78.0,78.0,78.0,86.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,78.0,78.0,78.0,86.0,63.0,58.0,58.0,58.0,63.0,58.0,44.0,44.0,44.0,58.0,86.0,77.0,56.0,85.0,74.0,90.0,87.0,77.0,78.0,93.0,94.0,86.0,94.0,83.0,93.0,75.0,53.0,75.0,44.0,84.0,34.0,26.0,83.0,87.0,61.0,83.0,51.0,24.0,22.0,8.0,4.0,14.0,9.0,10.0,€105.4M
G. Buffon,40,Italy,88,88,4000000.0,77000.0,1334,Right,4.0,2.0,1.0,Medium/ Medium,Normal,Yes,GK,1.0,"Jul 6, 2018",0,2019,6.4,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,13.0,37.0,17.0,26.0,20.0,13.0,35.0,28.0,49.0,43.0,55.0,79.0,49.0,39.0,75.0,39.0,69.0,13.0,38.0,28.0,12.0,50.0,22.0,70.0,13.0,11.0,11.0,88.0,87.0,74.0,90.0,83.0,€7.4M
C. Immobile,28,Italy,87,87,52000000.0,115000.0,2009,Right,3.0,4.0,3.0,High/ Medium,Normal,Yes,ST,17.0,"Jul 27, 2016",0,2023,6.1,187.0,84.0,84.0,84.0,79.0,82.0,82.0,82.0,79.0,78.0,78.0,78.0,77.0,70.0,70.0,70.0,77.0,60.0,58.0,58.0,58.0,60.0,58.0,55.0,55.0,55.0,58.0,55.0,90.0,81.0,74.0,87.0,83.0,70.0,51.0,49.0,83.0,78.0,85.0,77.0,87.0,63.0,86.0,77.0,80.0,76.0,80.0,77.0,40.0,91.0,65.0,78.0,81.0,34.0,33.0,32.0,6.0,8.0,15.0,12.0,6.0,€88.4M
M. Verratti,25,Italy,86,89,55000000.0,135000.0,2149,Right,3.0,4.0,4.0,Medium/ High,Normal,Yes,LCM,6.0,"Jul 18, 2012",0,2021,5.5,132.0,69.0,69.0,69.0,78.0,77.0,77.0,77.0,78.0,81.0,81.0,81.0,80.0,84.0,84.0,84.0,80.0,80.0,83.0,83.0,83.0,80.0,78.0,76.0,76.0,76.0,78.0,72.0,60.0,55.0,90.0,64.0,90.0,73.0,64.0,89.0,88.0,69.0,62.0,87.0,85.0,94.0,56.0,64.0,77.0,52.0,58.0,89.0,84.0,71.0,87.0,64.0,93.0,78.0,83.0,80.0,12.0,12.0,15.0,15.0,10.0,€105.9M
L. Bonucci,31,Italy,86,86,30000000.0,160000.0,1978,Right,3.0,3.0,2.0,Low/ High,Lean,Yes,RCB,19.0,"Aug 2, 2018",0,2023,6.3,187.0,65.0,65.0,65.0,63.0,65.0,65.0,65.0,63.0,68.0,68.0,68.0,65.0,74.0,74.0,74.0,65.0,74.0,82.0,82.0,82.0,74.0,76.0,84.0,84.0,84.0,76.0,44.0,48.0,86.0,77.0,58.0,69.0,56.0,61.0,85.0,75.0,57.0,65.0,60.0,84.0,52.0,74.0,85.0,71.0,83.0,65.0,82.0,90.0,38.0,74.0,70.0,86.0,90.0,86.0,80.0,2.0,2.0,3.0,2.0,4.0,€49.5M
Jorginho,26,Italy,84,87,38000000.0,155000.0,2136,Right,2.0,3.0,3.0,Medium/ Medium,Lean,No,CM,8.0,"Jul 16, 2018",0,2023,5.11,148.0,70.0,70.0,70.0,77.0,76.0,76.0,76.0,77.0,80.0,80.0,80.0,79.0,82.0,82.0,82.0,79.0,77.0,79.0,79.0,79.0,77.0,75.0,72.0,72.0,72.0,75.0,75.0,57.0,56.0,89.0,71.0,82.0,75.0,76.0,87.0,85.0,75.0,69.0,80.0,83.0,73.0,71.0,58.0,79.0,66.0,62.0,79.0,78.0,72.0,87.0,84.0,79.0,63.0,78.0,70.0,14.0,7.0,13.0,14.0,8.0,€73.2M
M. Perin,25,Italy,84,89,29500000.0,105000.0,1254,Right,2.0,3.0,1.0,Medium/ Medium,Lean,No,GK,22.0,"Jul 1, 2018",0,2022,6.2,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,12.0,33.0,19.0,19.0,15.0,13.0,31.0,23.0,57.0,56.0,70.0,79.0,30.0,23.0,75.0,30.0,52.0,17.0,25.0,19.0,12.0,44.0,21.0,65.0,20.0,12.0,19.0,81.0,85.0,71.0,79.0,90.0,€50.9M
A. Barzagli,37,Italy,84,84,4200000.0,95000.0,1740,Right,3.0,3.0,2.0,Low/ High,Normal,Yes,CB,15.0,"Jan 1, 2011",0,2019,6.2,192.0,52.0,52.0,52.0,54.0,55.0,55.0,55.0,54.0,57.0,57.0,57.0,57.0,63.0,63.0,63.0,57.0,71.0,75.0,75.0,75.0,71.0,74.0,82.0,82.0,82.0,74.0,40.0,21.0,72.0,65.0,35.0,64.0,50.0,31.0,65.0,65.0,61.0,77.0,52.0,80.0,64.0,54.0,81.0,53.0,83.0,39.0,66.0,90.0,28.0,62.0,60.0,88.0,94.0,90.0,82.0,4.0,2.0,4.0,2.0,4.0,€6.9M
F. Acerbi,30,Italy,83,83,19000000.0,64000.0,1849,Left,2.0,3.0,3.0,Medium/ Medium,Normal,No,CB,13.0,"Jul 11, 2018",0,2023,6.4,194.0,58.0,58.0,58.0,55.0,59.0,59.0,59.0,55.0,61.0,61.0,61.0,59.0,69.0,69.0,69.0,59.0,71.0,79.0,79.0,79.0,71.0,74.0,81.0,81.0,81.0,74.0,25.0,37.0,80.0,73.0,39.0,65.0,62.0,56.0,77.0,72.0,65.0,55.0,33.0,81.0,35.0,75.0,68.0,81.0,83.0,60.0,73.0,85.0,20.0,65.0,72.0,85.0,87.0,87.0,85.0,11.0,9.0,9.0,13.0,11.0,€32.3M
