Name,Age,Nationality,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
De Gea,27,Spain,91,93,72000000.0,260000.0,1471,Right,4.0,3.0,1.0,Medium/ Medium,Lean,Yes,GK,1.0,"Jul 1, 2011",0,2020,6.4,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,21.0,50.0,13.0,18.0,21.0,19.0,51.0,42.0,57.0,58.0,60.0,90.0,43.0,31.0,67.0,43.0,64.0,12.0,38.0,30.0,12.0,68.0,40.0,68.0,15.0,21.0,13.0,90.0,85.0,87.0,88.0,94.0,€138.6M
Sergio Ramos,32,Spain,91,91,51000000.0,380000.0,2201,Right,4.0,3.0,3.0,High/ Medium,Normal,Yes,RCB,15.0,"Aug 1, 2005",0,2020,6.0,181.0,73.0,73.0,73.0,70.0,71.0,71.0,71.0,70.0,71.0,71.0,71.0,72.0,75.0,75.0,75.0,72.0,81.0,84.0,84.0,84.0,81.0,84.0,87.0,87.0,87.0,84.0,66.0,60.0,91.0,78.0,66.0,63.0,74.0,72.0,77.0,84.0,76.0,75.0,78.0,85.0,66.0,79.0,93.0,84.0,83.0,59.0,88.0,90.0,60.0,63.0,75.0,82.0,87.0,92.0,91.0,11.0,8.0,9.0,7.0,11.0,€104.6M
David Silva,32,Spain,90,90,60000000.0,285000.0,2115,Left,4.0,2.0,4.0,High/ Medium,Normal,Yes,LCM,21.0,"Jul 14, 2010",0,2020,5.8,148.0,77.0,77.0,77.0,85.0,84.0,84.0,84.0,85.0,87.0,87.0,87.0,85.0,85.0,85.0,85.0,85.0,69.0,70.0,70.0,70.0,69.0,64.0,57.0,57.0,57.0,64.0,84.0,76.0,54.0,93.0,82.0,89.0,82.0,77.0,87.0,94.0,70.0,64.0,92.0,90.0,90.0,72.0,64.0,78.0,52.0,75.0,57.0,50.0,89.0,92.0,75.0,93.0,59.0,53.0,29.0,6.0,15.0,7.0,6.0,12.0,€111M
Sergio Busquets,29,Spain,89,89,51500000.0,315000.0,2065,Right,4.0,3.0,3.0,Medium/ Medium,Lean,Yes,CDM,5.0,"Sep 1, 2008",0,2023,6.2,168.0,71.0,71.0,71.0,74.0,76.0,76.0,76.0,74.0,79.0,79.0,79.0,76.0,83.0,83.0,83.0,76.0,79.0,86.0,86.0,86.0,79.0,78.0,82.0,82.0,82.0,78.0,62.0,67.0,68.0,89.0,44.0,80.0,66.0,68.0,82.0,88.0,50.0,52.0,66.0,87.0,52.0,61.0,66.0,86.0,77.0,54.0,85.0,87.0,77.0,87.0,60.0,90.0,90.0,86.0,80.0,5.0,8.0,13.0,9.0,13.0,€105.6M
Isco,26,Spain,88,91,73500000.0,315000.0,2137,Right,3.0,3.0,4.0,High/ Medium,Normal,Yes,LW,22.0,"Jul 3, 2013",0,2022,5.9,174.0,76.0,76.0,76.0,84.0,83.0,83.0,83.0,84.0,86.0,86.0,86.0,83.0,83.0,83.0,83.0,83.0,72.0,73.0,73.0,73.0,72.0,68.0,63.0,63.0,63.0,68.0,75.0,79.0,55.0,89.0,65.0,94.0,88.0,76.0,83.0,95.0,75.0,69.0,87.0,77.0,90.0,69.0,64.0,70.0,59.0,87.0,58.0,64.0,78.0,89.0,76.0,86.0,60.0,64.0,51.0,10.0,8.0,12.0,15.0,6.0,€156.2M
Jordi Alba,29,Spain,87,87,38000000.0,250000.0,2230,Left,3.0,3.0,3.0,High/ Medium,Normal,Yes,LB,18.0,"Jul 1, 2012",0,2020,5.7,150.0,76.0,76.0,76.0,81.0,79.0,79.0,79.0,81.0,79.0,79.0,79.0,82.0,79.0,79.0,79.0,82.0,84.0,80.0,80.0,80.0,84.0,84.0,78.0,78.0,78.0,84.0,87.0,73.0,70.0,84.0,60.0,80.0,80.0,63.0,74.0,84.0,93.0,93.0,90.0,83.0,85.0,64.0,81.0,91.0,61.0,66.0,75.0,84.0,79.0,70.0,59.0,79.0,72.0,84.0,85.0,13.0,15.0,13.0,6.0,13.0,€77.9M
Piqué,31,Spain,87,87,34000000.0,240000.0,1950,Right,4.0,3.0,2.0,High/ Medium,Normal,Yes,RCB,3.0,"Jul 1, 2008",0,2022,6.4,187.0,68.0,68.0,68.0,64.0,66.0,66.0,66.0,64.0,67.0,67.0,67.0,66.0,73.0,73.0,73.0,66.0,75.0,81.0,81.0,81.0,75.0,77.0,83.0,83.0,83.0,77.0,57.0,64.0,83.0,81.0,57.0,59.0,58.0,43.0,80.0,78.0,49.0,60.0,58.0,84.0,36.0,62.0,74.0,65.0,83.0,51.0,72.0,88.0,58.0,62.0,69.0,86.0,91.0,86.0,84.0,10.0,11.0,14.0,15.0,8.0,€69.7M
Thiago,27,Spain,86,86,45500000.0,130000.0,2190,Right,3.0,3.0,5.0,Medium/ Medium,Normal,Yes,CM,19.0,"Jul 14, 2013",0,2021,5.9,154.0,75.0,75.0,75.0,82.0,81.0,81.0,81.0,82.0,84.0,84.0,84.0,82.0,84.0,84.0,84.0,82.0,76.0,77.0,77.0,77.0,76.0,73.0,67.0,67.0,67.0,73.0,72.0,69.0,54.0,90.0,90.0,90.0,85.0,77.0,87.0,90.0,78.0,69.0,90.0,84.0,86.0,75.0,75.0,75.0,59.0,79.0,57.0,78.0,79.0,86.0,75.0,85.0,67.0,63.0,65.0,6.0,11.0,7.0,9.0,13.0,€75.1M
Azpilicueta,28,Spain,86,86,35000000.0,175000.0,2114,Right,3.0,3.0,2.0,Medium/ Medium,Normal,Yes,RB,14.0,"Aug 24, 2012",0,2022,5.1,168.0,67.0,67.0,67.0,71.0,70.0,70.0,70.0,71.0,72.0,72.0,72.0,74.0,77.0,77.0,77.0,74.0,83.0,83.0,83.0,83.0,83.0,84.0,83.0,83.0,83.0,84.0,81.0,46.0,76.0,81.0,51.0,69.0,68.0,58.0,80.0,77.0,76.0,76.0,72.0,88.0,73.0,68.0,76.0,87.0,71.0,60.0,82.0,89.0,62.0,74.0,66.0,78.0,88.0,90.0,86.0,13.0,9.0,10.0,6.0,5.0,€64.8M
Iniesta,34,Spain,86,86,21500000.0,21000.0,2058,Right,4.0,4.0,4.0,High/ Medium,Normal,Yes,LF,8.0,"Jul 16, 2018",0,2021,5.7,150.0,74.0,74.0,74.0,82.0,81.0,81.0,81.0,82.0,85.0,85.0,85.0,82.0,83.0,83.0,83.0,82.0,71.0,73.0,73.0,73.0,71.0,68.0,63.0,63.0,63.0,68.0,77.0,70.0,54.0,90.0,74.0,90.0,80.0,70.0,85.0,92.0,70.0,67.0,79.0,86.0,84.0,65.0,47.0,55.0,58.0,71.0,58.0,66.0,81.0,93.0,71.0,89.0,67.0,57.0,56.0,6.0,13.0,6.0,13.0,7.0,€26.9M
